9/09/2026,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
mié-23-set,9:00,La educación y sus transformaciones en la Historia,1°,2023,FAGET Gustavo,LIMA Agustín,CARRERAS Andrea,
mié-23-set,11:00,Informática,3°,2008,GONZÁLEZ Sebastián,BENÍTEZ Miguel,MUÑOZ Laura,
,,Tecnologías multimediales,2°,2023,,,,
mié-23-set,9:00,Investigación Educativa,3°,2008,MARSIGLIA Gianina,MILSTEIN Ariel,LUZARDO Cecilia,
mié-23-set,9:00,Lengua Extranjera I (Inglés),4°,2023,BORJAS Celeste,BARDAS María,CUSTODIO Germán,
,,Lengua Extranjera II (Inglés),4°,2023,,,,
,,Lenguas Extranjeras (Inglés),4°,2008,,,,
mié-23-set,9:00,Problemas Epistemológicos y Pensamiento Científico,2°,2023,VIEIRA Ana,DUBOUÉ Ana,MOREIRA Ángel,
,,Teoría del Conocimiento y Epistemología,2°,2023,,,,
mié-23-set,9:00,Teorías Pedagógicas,1°,2023,RODRÍGUEZ Soledad,CORCELET Claudia,GUILLAMA Graciela,
mié-23-set,9:00,Observación y Análisis de las Instituciones Educativas,1°,2008,ISQUIERDO Mónica,RODRÍGUEZ Edh,TOMEO Ana,
,,Pedagogía II,2°,2008,,,,
mié-23-set,10:30,Astronomía Fundamental y mecánica celeste,3º,2008,VIERA Emilio,ACOSTA Lourdes,ROLAND Santiago,
,,Elementos de Astronomía para Geografía,1º,2008,,,,
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
jue-24-set,9:00,Psicología de la educación,2º,2023,PALOMBO Fernanda,BENEDETTI Begoña,FERNÁNDEZ Leticia,
,,Psicología del desarrollo,1º,2023,,,,
jue-24-set,9:00,Legislación y Administración de la Enseñanza,3°,2008,CURBELO Lila,PALESO Christian,BRITO Alexandra,
,,SEN: Políticas Educativas,2°,2023,AUYUANET Soraya,,,
jue-24-set,9:00,Lengua Española I,1°,2023,LAMBERT Adriana,LAVIANO Mónica,DÍAZ Roxana,
,,Lengua Española II,2°,2023,,,,
jue-24-set,9:00,Geografía de los Países Periféricos,4º,2008,PÉREZ Inés,RODRÍGUEZ José,CORREA Patricia,
,,Geografía Humana ,2º,2008,,,,
jue-24-set,9:00,Imagen I,1º,2023,SCAGLIOLA Pablo,RÍOS Elisa,CARLE Susana,
,,Imagen IV (Imagen A e Imagen B),4º,2008,,,,
jue-24-set,9:00,Filosofía del Derecho,4º,2008,BENOIT Carina,LIMA Nicolás,PAREDES Pablo,
,,Sociología del Derecho,1º,2008,,,,
jue-24-set,9:00,Derecho Penal,4º,2008,CARRETTO SIlvia,VILLAR Gustavo,SABATOVICH Daniela,
,,Derecho Público I,1º,2023,,,,
jue-24-set,9:00,Economía,2º,2008,UMPIÉRREZ Mónica,VACCARI Liliana,AUYUANET Soraya,
jue-24-set,9:00,Educación de la voz 2,2º,2008,ASUAGA Juan,CORRALES Carmen,TAZZI Letizia,No se encuentra la materia
jue-24-set,9:00,Lingüística (Literatura),1°,2023/2008,GOMES María José ,MONTENEGRO Yamila,CABAKIAN Adriana,
,,Lingüística II (Español),2º,2008,,,,
,,Lingüística III (Español),3º,2008,,,,
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
vie-25-set,9:00,"Educación, sociedad y cultura",1°,2023,DOMÍNGUEZ Luis,DA SILVEIRA Sylvia,GALVALISI Daniel,
vie-25-set,9:00,Sociología de la Educación I: Teoría Sociológica,1°,2023,,,,
vie-25-set,9:00,Sociología de la Educación,2°,2008,,,,
vie-25-set,9:00,Filosofía de la Educación,3º,2023,ARIAS Rafaela,BERNASSA Juan,FERNÁNDEZ Marcelo,
vie-25-set,9:00,Geografía física I,2º,2008,DE LOS SANTOS Miralba,PIZARRO Mónica,ANTONI Mariángeles,
,,Geografía física II,3º,2008,,,,
jue-24-set,9:00,Teorías y Métodos de la Geografía,1º,2023,VILELA Maida,FARÍAS Daniel,SÁNCHEZ Wilson,
vie-25-set,9:00,Termodinámica y nociones de electromagnetismo para Astronomía,2°,2023,SUÁREZ Álvaro,PERINETTI Leticia,MACHÍN Leonardo,
vie-25-set,9:00,Historia del Derecho,1º,Ref. 2026,COITINHO Virginia,PAREDES Pablo,MÁRQUEZ Jorge,
,,Historia del pensamiento político y social,1º,Ref. 2026,,,,
,,Ciencia Política,3º,2008,,,,
vie-25-set,9:00,Introducción al cálculo,1º,2023,ZAPATTINI Annabella,GONZÁLEZ Facundo,MILANO Adrián,
,,Análisis I,2º,2008,,,,
,,Matemática para Química,1º,2023,PINTOS Karina,,,
,,Matemática 1 y 2 para Física,1º/2º,2008,,,,
vie-25-set,9:00,Aspectos Prácticos de la enseñanza del Inglés I ,3º,2008,DANTAZ Nicolás,MARCENARO Gabriela,ALONSO Mercedes,
,,Aspectos Prácticos de la enseñanza del Inglés II,4º,2008,,,,
vie-25-set,9:00,Cultura y civilización de los países angloparlantes 2,2º,2008,RODRÍGUEZ Aldo,MOLINARI Cecilia,CUSTODIO Germán,
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
lun-28-set,9:00,Biología Celular,1º,2023,SHABLICO Diana,OLAVE Eugenia,HARISPE Laura,
,,Microbiología,3º,2008,,,,
lun-28-set,9:00,Biología Animal I,3º,2023,VARELA Gabriela,FERRANDO Gustavo,BEROCAY Jennifer,
,,Zoología 1,3º,2008,,,,
,,Zoología 2,4º,2008,,,,
lun-28-set,9:00,Diseño III,3º,2008,CORA Leonardo,VERGARA Álbaro,CABRERA Fernando,
lun-28-set,9:00,Seminario de Derecho Procesal,4º,2023,MORALES Alejandro,VILLAR Gustavo,GALVALISI Daniel,
,,Derecho Público IV,4º,2008,LOMBARDO Soledad,,,
lun-28-set,9:00,Derecho laboral,3°,2008,MIERES Patricia,BARTHE Laura,VACCARI Liliana,
lun-28-set,9:00,Acústica,2º,2008,GONZÁLEZ Gerardo,MENEGUZZI Miguel,TELECHEA José,
lun-28-set,9:00,Literatura Grecolatina (Español y Literatura),1º,2023,MOREIRA Augusto,DELBENE Lucía,RODRÍGUEZ Beatriz,
lun-28-set,9:00,Ética,1º,2023,PIASER María,SORIA Luciana,BURGUES Christian,
lun-28-set,9:00,Filosofía teórica,4º,2008,NIGRO Guillermo,MOLINA Miguel,IRISARRI Martín,
,,Epistemología,2°,2023,,,,
,,Metafísica,3º,2023,,,,
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
mar-29-set,9:00,Gramática Española (Español y Literatura),1º,2008,CARROCIO Macarena,TAIBO Marcelo,CARDOZO Santiago,
,,Teoría Gramatical II (Español y Literatura),2º,2008,,,,
,,Teoría Gramatical III,3º,2008,,,,
mar-29-set,9:00,Gramática Histórica II,4º,2008,BACIGALUPE Fiorella,PIPPOLO Cristina,GONZÁLEZ María José,
mar-29-set,9:00,Historia de las ideas en Latinoamérica,4º,2008,SUÁREZ Fernando,INZAURRALDE Héctor,CORTI Aníbal,
mar-29-set,9:00,Literatura iberoamericana 1,3º,2008,SANGUINETTI Néstor,ALBERNAZ Daniel,GEROLAMI Cecilia,
mar-29-set,9:00,Fundamentos I,1°,2023,COLOMBO Alejo,CHARBONNIER Diego,TEJERA Mathias,
,,Geometría y Álgebra Lineal I,2º,2023,BESSONART Lucía,FRANCO Gustavo,VASSALLO Julio,
,,,,,FORTES Ana,,,
mar-29-set,9:00,Bioquímica e introducción a la farmacología,4º,2008,ORTEGA Andrea,PILATTI Pierina,RODRÍGUEZ Álvaro,
mar-29-set,9:00,Introduccion a la fonetica y fonologia ,1º,2023,BOYADJI Juan,BUGNA María Helena,POMIÉS Sabrina,
,,Fonética y Fonología I,2º,2023,,,,
,,Fonética y Fonología 3,3º,2008,,,,
mar-29-set,9:00,Teoría de las Artes Visuales I,3°,2008,BORGES María,VERGARA Álvaro,COUSTE Valeria,
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
mié-30-set,9:00,Genética,2°,2023/2008,HARISPE Laura,SHABLICO Diana,LÓPEZ Silvana,
mié-30-set,9:30,Botánica 1,3º,2008,SUÁREZ Diego,LEONI Elsa,CALIXTO Gabriel,
,,Botánica 2,4º,2008,,,,
mié-30-set,9:00,Literatura Uruguaya 2,4º,2008,SANGUINETTI Néstor,ALBERNAZ Daniel,ALBARADO Juan,
mié-30-set,9:00,Probabilidad y Estadística,3º,2023,SIERRA Mario,OLESKER Luciana,POSADA Juan,
mié-30-set,9:00,Física para Química,1º,2023,BENÍTEZ Verónica ,SIMÓ Marcelo,SERRÓN Lucía,
mié-30-set,9:00,Historia de la Historiografía hasta el siglo XVIII (inclusive),2º,2008,LÓPEZ Guadalupe,CASSINELLI Marcelo,LARROBLA Carla,No se encuentra la materia
mié-30-set,9:00,Literatura II (Inglés),3º,2008,FRADE Virginia,CUSTODIO Germán,LUCAS María José,
,,Lingüística II (Inglés),4º,2008,,,,
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
jue-01-oct,9:00,Literatura Medieval y Renacentista,1º,2023,REVELLO Álvaro,DELBENE Lucía,MARRERO Carmela,
jue-01-oct,9:00,Literatura en Lengua Española,3º,2008,PANISELLO Claudia,SACCO Carolina,,
jue-01-oct,9:00,Geometría y Álgebra Lineal II,2º,2023,VASSALLO Julio,CHARBONNIER Diego,FRANCO Gustavo,
,,Fundamentos II,1º,2023,,,,
jue-01-oct,9:00,Geometría,1º,2023,ESPANTOSO Fernando,MAUFINET Jeannine,DALCÍN Mario,
jue-01-oct,9:00,Topología,3º,2008,CASTAGNA Horacio,MOLFINO Verónica,BRISSET Jorge,
jue-01-oct,9:00,Historia Universal II,2º,1986,BRANDON Yanelin,DEVOTO Marina,PRISCAL Richard,
,,Prehistoria e historia antigua,1º,2008,,,,
jue-01-oct,13:30,"Historia, Arte y Sociedad en Francia I",1º,2016,LA BUONORA Adriana,LESSA Soledad,VANISKOVA Alena,ACTA MANUAL
DÍA,HORA,EXAMEN,AÑO,PLAN,TRIBUNAL,,,SALONES
vie-2-oct,9:00,Biología Humana,2º,2023/2008,PEREIRA Carolina,PERENDONES Alfonso,MUSSO Daniela,
,,Fisiología Humana,2º,2008,,,,
vie-2-oct,9:00,Historia de la Filosofía Antigua y Medieval,1º,2023,CALCAGNO Daniel,MOREIRA Nicolás,SALINA Carla,
,,Historia de la Filosofía medieval,2º,2008,,,,
vie-02-oct,9:00,Metodología de la Investigación Literaria,4º,2008,SOSA Gabriela,MARTCHENKO Stefan,VIDAL Yanina,
,,Teoría Literaria 2,2°,2008,,,,
,,Teoría Literaria 3,3º,2008,,,,
vie-02-oct,9:00,Fisicoquímica 1,3º,2008,ÁLVAREZ Andrés,ALVES Claudia,BENTANCUR Gustavo,
,,Fisicoquímica 2,4º,2008,,,,
vie-02-oct,9:00,Civilizaciones Actuales y Globalización,1º,2023,ROMERO Líber,CASSINELLI Marcelo,XICART Maximiliano,
,,Historia Universal III,3º,1986,,,,
,,Historia Universal IV,4º,1986,,,,
,,Historia Contemporánea de 1914 a nuestros días ,4º,2008,,,,
,,Historia Universal S. XX y XXI,4º,2023,,,,
vie-02-oct,9:00,Historia de América de 1830 a 1930,3º,2008,REDES Soledad,BARUSSO Carina,PERA Silvana,
,,Historia de América de 1930 a nuestros días,4º,2008,,,,
,,Prehistoria e Historia de América y del Río de la Plata,1º,2008,,,,
vie-02-oct,9:00,Las Artes Visuales en la Prehistoria e Historia Antigua,1º,2008,LEONE Verónica,MENÉNDEZ Gonzalo,ZITO Maximiliano,
,,Las Artes Visuales desde la Edad Media al Barroco,2º,2008,,,,
,,Historia de las Artes Visuales en el siglo XX,4º,2008,,,,
,,Artes y lenguajes contemporáneos ,3º,2023,,,,
vie-02-oct,9:00,Teoría de las Artes Visuales II,4°,2008,BORGES María,VERGARA Álvaro,COUSTE Valeria,
